timestamp,ecg_measurement
249056000,5.50625
249060000,5.495
249064000,5.49625
249068000,5.50625
249072000,5.51625
249076000,5.515
249080000,5.5175
249084000,5.5175
249088000,5.51875
249092000,5.51375
249096000,5.51625
249100000,5.51875
249104000,5.5275
249108000,5.53
249112000,5.5325
249116000,5.52875
249120000,5.52625
249124000,5.5225
249128000,5.52375
249132000,5.52
249136000,5.5125
249140000,5.52
249144000,5.52625
249148000,5.53375
249152000,5.5375
249156000,5.53
249160000,5.525
249164000,5.52
249168000,5.5225
249172000,5.52375
249176000,5.51875
249180000,5.51375
249184000,5.5125
249188000,5.5175
249192000,5.51375
249196000,5.51625
249200000,5.51875
249204000,5.52125
249208000,5.52
249212000,5.51875
249216000,5.51375
249220000,5.5125
249224000,5.51375
249228000,5.5175
249232000,5.51375
249236000,5.5075
249240000,5.5025
249244000,5.4975
249248000,5.50375
249252000,5.51125
249256000,5.51875
249260000,5.52
249264000,5.52
249268000,5.52125
249272000,5.5225
249276000,5.525
249280000,5.52625
249284000,5.52375
249288000,5.525
249292000,5.5375
249296000,5.54875
249300000,5.55625
249304000,5.5625
249308000,5.56375
249312000,5.5675
249316000,5.565
249320000,5.55625
249324000,5.54625
249328000,5.54125
249332000,5.54
249336000,5.52875
249340000,5.5125
249344000,5.5125
249348000,5.51625
249352000,5.515
249356000,5.505
249360000,5.49875
249364000,5.49875
249368000,5.50625
249372000,5.515
249376000,5.515
249380000,5.50875
249384000,5.51125
249388000,5.515
249392000,5.52125
249396000,5.5175
249400000,5.5125
249404000,5.49875
249408000,5.50625
249412000,5.545
249416000,5.62625
249420000,5.745
249424000,5.88625
249428000,6.025
249432000,6.13125
249436000,6.18125
249440000,6.1475
249444000,6.04375
249448000,5.90625
249452000,5.77875
249456000,5.69125
249460000,5.63625
249464000,5.60125
249468000,5.57875
249472000,5.55625
249476000,5.5325
249480000,5.515
249484000,5.50875
249488000,5.51
249492000,5.51125
249496000,5.50875
249500000,5.5075
249504000,5.505
249508000,5.51375
249512000,5.5225
249516000,5.52125
249520000,5.5175
249524000,5.51625
249528000,5.5175
249532000,5.52
249536000,5.5175
249540000,5.52125
249544000,5.52875
249548000,5.5375
249552000,5.545
249556000,5.55125
249560000,5.55375
249564000,5.55125
249568000,5.54625
249572000,5.55
249576000,5.55375
249580000,5.55125
249584000,5.55125
249588000,5.56
249592000,5.58125
249596000,5.58625
249600000,5.585
249604000,5.5825
249608000,5.5875
249612000,5.59
249616000,5.58875
249620000,5.585
249624000,5.59
249628000,5.6
249632000,5.60875
249636000,5.61
249640000,5.60875
249644000,5.60375
249648000,5.60375
249652000,5.6
249656000,5.605
249660000,5.60625
249664000,5.61
249668000,5.6075
249672000,5.60875
249676000,5.6025
249680000,5.60375
249684000,5.61125
249688000,5.61125
249692000,5.6025
249696000,5.59625
249700000,5.59375
249704000,5.59625
249708000,5.6
249712000,5.595
249716000,5.58875
249720000,5.58125
249724000,5.5725
249728000,5.56875
249732000,5.56875
249736000,5.57
249740000,5.56625
249744000,5.56625
249748000,5.56375
249752000,5.55625
249756000,5.54625
249760000,5.5375
249764000,5.5425
249768000,5.54625
249772000,5.55375
249776000,5.5525
249780000,5.55125
249784000,5.54875
249788000,5.54875
249792000,5.5525
249796000,5.555
249800000,5.55
249804000,5.55625
249808000,5.5675
249812000,5.5725
249816000,5.5675
249820000,5.5625
249824000,5.5675
249828000,5.575
249832000,5.5775
249836000,5.57625
249840000,5.575
249844000,5.57
249848000,5.57625
249852000,5.5825
249856000,5.57625
249860000,5.5725
249864000,5.57375
249868000,5.5725
249872000,5.5725
249876000,5.57
249880000,5.57625
249884000,5.58125
249888000,5.585
249892000,5.58
249896000,5.575
249900000,5.5725
249904000,5.5725
249908000,5.5725
249912000,5.5725
249916000,5.5675
249920000,5.56375
249924000,5.5625
249928000,5.56125
249932000,5.565
249936000,5.56
249940000,5.5575
249944000,5.565
249948000,5.57
249952000,5.57625
249956000,5.57375
249960000,5.56625
249964000,5.56125
249968000,5.55875
249972000,5.5575
249976000,5.565
249980000,5.57
249984000,5.5675
249988000,5.5625
249992000,5.565
249996000,5.5725
250000000,5.58
250004000,5.58375
250008000,5.59
250012000,5.5925
250016000,5.58125
250020000,5.58125
250024000,5.585
250028000,5.595
250032000,5.60375
250036000,5.6075
250040000,5.61125
250044000,5.61875
250048000,5.625
250052000,5.63125
250056000,5.62125
250060000,5.61125
250064000,5.59625
250068000,5.585
250072000,5.5775
250076000,5.575
250080000,5.5725
250084000,5.57125
250088000,5.5725
250092000,5.57375
250096000,5.56875
250100000,5.56625
250104000,5.56125
250108000,5.57125
250112000,5.5775
250116000,5.575
250120000,5.5725
250124000,5.56375
250128000,5.5625
250132000,5.56375
250136000,5.55625
250140000,5.55125
250144000,5.57375
250148000,5.6325
250152000,5.74
250156000,5.86375
250160000,5.9875
250164000,6.10875
250168000,6.195
250172000,6.19875
250176000,6.12125
250180000,5.99625
250184000,5.85625
250188000,5.75625
250192000,5.7
250196000,5.66625
250200000,5.63625
250204000,5.61625
250208000,5.60625
250212000,5.6
250216000,5.585
250220000,5.585
250224000,5.58375
250228000,5.5775
250232000,5.575
250236000,5.57375
250240000,5.57
250244000,5.5675
250248000,5.565
250252000,5.56875
250256000,5.57875
250260000,5.585
250264000,5.58125
250268000,5.59
250272000,5.59625
250276000,5.59375
250280000,5.5875
250284000,5.5975
250288000,5.61
250292000,5.615
250296000,5.6125
250300000,5.60375
250304000,5.60625
250308000,5.6175
250312000,5.6225
250316000,5.625
250320000,5.6325
250324000,5.6375
250328000,5.6375
250332000,5.63875
250336000,5.64375
250340000,5.64625
250344000,5.64625
250348000,5.64625
250352000,5.655
250356000,5.66625
250360000,5.675
250364000,5.68375
250368000,5.69
250372000,5.68
250376000,5.67125
250380000,5.66875
250384000,5.67875
250388000,5.6825
250392000,5.685
250396000,5.67125
250400000,5.67375
250404000,5.67
250408000,5.675
250412000,5.6775
250416000,5.675
250420000,5.66625
250424000,5.66
250428000,5.65625
250432000,5.6575
250436000,5.6625
250440000,5.65625
250444000,5.65
250448000,5.6425
250452000,5.63125
250456000,5.62375
250460000,5.6225
250464000,5.6225
250468000,5.61875
250472000,5.61375
250476000,5.60375
250480000,5.59875
250484000,5.59625
250488000,5.59875
250492000,5.6
250496000,5.58875
250500000,5.58
250504000,5.57875
250508000,5.58625
250512000,5.58875
250516000,5.59375
250520000,5.58625
250524000,5.5825
250528000,5.58125
250532000,5.58
250536000,5.57375
250540000,5.575
250544000,5.57625
250548000,5.59
250552000,5.60125
250556000,5.60125
250560000,5.60125
250564000,5.59875
250568000,5.5975
250572000,5.59625
250576000,5.595
250580000,5.595
250584000,5.59125
250588000,5.6
250592000,5.6
250596000,5.59625
250600000,5.585
250604000,5.5875
250608000,5.59
250612000,5.59
250616000,5.585
250620000,5.59
250624000,5.59625
250628000,5.5925
250632000,5.58875
250636000,5.58625
250640000,5.5825
250644000,5.585
250648000,5.59125
250652000,5.59625
250656000,5.59625
250660000,5.5925
250664000,5.59375
250668000,5.5925
250672000,5.5875
250676000,5.57625
250680000,5.5775
250684000,5.58375
250688000,5.58125
250692000,5.58
250696000,5.5875
250700000,5.59125
250704000,5.5975
250708000,5.60125
250712000,5.6
250716000,5.59375
250720000,5.59375
250724000,5.595
250728000,5.6075
250732000,5.62125
250736000,5.625
250740000,5.63125
250744000,5.6325
250748000,5.63375
250752000,5.64
250756000,5.65
250760000,5.6425
250764000,5.62625
250768000,5.61
250772000,5.59375
250776000,5.57875
250780000,5.5725
250784000,5.57375
250788000,5.58125
250792000,5.57875
250796000,5.57625
250800000,5.5775
250804000,5.57875
250808000,5.57875
250812000,5.57625
250816000,5.57625
250820000,5.5725
250824000,5.5725
250828000,5.57625
250832000,5.5775
250836000,5.575
250840000,5.58
250844000,5.57625
250848000,5.565
250852000,5.57375
250856000,5.63125
250860000,5.74
250864000,5.87375
250868000,6.01
250872000,6.12
250876000,6.17625
250880000,6.1525
250884000,6.06625
250888000,5.93625
250892000,5.80375
250896000,5.71125
